"lang"
{
	"Language"	"russian"
	"DOTA_Tooltip_Ability_axe_battle_hunger_lua_slow"		                                                "%ЗАМЕДЛЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"		
	
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	"axe_battle_hunger_lua_duration"			                                                            "+{s:value}s злительности {s:ability_name}"
	"axe_battle_hunger_lua_slow"			                                                                "+{s:value}% замедления {s:ability_name}"
	"axe_battle_hunger_lua_speed_bonus"			                                                            "+{s:value}% бонуса скорости передвижения за задетого юнита от {s:ability_name}"
	"axe_battle_hunger_lua_damage_per_second"			                                                    "+{s:value} урона в секунду {s:ability_name}"
	"axe_battle_hunger_lua_radius"			                                                                "+{s:value} радиуса действия {s:ability_name}"
	"axe_battle_hunger_lua_pct_cooldown"			                                                        "-{s:value}% перезарядки {s:ability_name}"
	
	"axe_berserkers_call_lua_radius"			                                                            "+{s:value} к радиусу {s:ability_name}"
	"axe_berserkers_call_lua_bonus_armor"			                                                        "+{s:value}% снижения урона от {s:ability_name}"
	"axe_berserkers_call_lua_duration"			                                                            "+{s:value}s длительности {s:ability_name}"		
	"axe_berserkers_call_lua_pct_cooldown"			                                                        "-{s:value}% перезарядки {s:ability_name}"
	
	"axe_counter_helix_lua_trigger_chance"			                                                        "+{s:value}% шансу срабатывания {s:ability_name}"
	"axe_counter_helix_lua_damage"			                                                                "+{s:value} к урону {s:ability_name}"	
	
	
	"axe_culling_blade_lua_kill_threshold"			                                                        "+{s:value} к порогу убийства {s:ability_name}"
	"axe_culling_blade_lua_damage"			                                                                "+{s:value} к урону при неудаче {s:ability_name}"
	"axe_culling_blade_lua_speed_bonus"			                                                            "+{s:value}% к бонусу скорости передвижения {s:ability_name}"
	"axe_culling_blade_lua_atk_speed_bonus_tooltip"			                                                "+{s:value} к бонусу скорости атаки {s:ability_name}"
	"axe_culling_blade_lua_speed_duration"			                                                        "+{s:value}s к длительности ускорения {s:ability_name}"
	"axe_culling_blade_lua_pct_cooldown"			                                                        "-{s:value}% перезарядки {s:ability_name}"	
	
	
	//>---------------------------------------
	//>--- BRISTLE SHARD ---------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_duration"				                                "Battle Hunger - Длительность"
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_slow"					                                "Battle Hunger - Замедление скорости передвижения"
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_speed_bonus"			                                "Battle Hunger - Бонус скорости передвижения за задетого юнита"
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_damage_per_second"		                                "Battle Hunger - Урон в секунду"
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_radius"				                                "Battle Hunger - Радиус"
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_pct_cooldown"			                                "Battle Hunger - Перезарядка"
	
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_duration_Description"				                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность Battle Hunger на %value% секунд."
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_slow_Description"					                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает замедление Battle Hunger на %value%%."
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_speed_bonus_Description"			                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает бонус скорости передвижения за задетого юнита Battle Hunger на %value%%."
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_damage_per_second_Description"		                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает урон в секунду Battle Hunger на %value%."
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_radius_Description"				                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает радиус действия Battle Hunger на %value%."
	"DOTA_Tooltip_Ability_item_axe_battle_hunger_lua_pct_cooldown_Description"			                    "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Battle Hunger на %value%%."
	
	
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_radius"		                                        "Berserker's Call - Радиус"
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_bonus_armor"		                                    "Berserker's Call - Снижение урона"
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_duration"		                                    "Berserker's Call - Длительность"
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_pct_cooldown"		                                "Berserker's Call - Перезарядка"
	
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_radius_Description"		                            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает радиус Berserker's Call на %value%."
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_bonus_armor_Description"		                        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает снижение урона Berserker's Call на %value%%%."
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_duration_Description"		                        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность Berserker's Call на %value% секунд."
	"DOTA_Tooltip_Ability_item_axe_berserkers_call_lua_pct_cooldown_Description"		                    "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Berserker's Call на %value%%."
	
	
	"DOTA_Tooltip_Ability_item_axe_counter_helix_lua_trigger_chance"		                                "Counter Helix - Шанс срабатывания"
	"DOTA_Tooltip_Ability_item_axe_counter_helix_lua_damage"		                                        "Counter Helix - Урон"
	
	"DOTA_Tooltip_Ability_item_axe_counter_helix_lua_trigger_chance_Description"		                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает шанс срабатывания Counter Helix на %value%%."
	"DOTA_Tooltip_Ability_item_axe_counter_helix_lua_damage_Description"		                            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает урон Counter Helix на %value%."
	
	
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_kill_threshold"		                                "Culling Blade - Порог убийства"
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_damage"		                                        "Culling Blade - Урон при неудаче"
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_speed_bonus"		                                    "Culling Blade - Бонус скорости передвижения"
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_atk_speed_bonus_tooltip"		                        "Culling Blade - Бонус скорости атаки"
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_speed_duration"		                                "Culling Blade - Длительность ускорения"
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_pct_cooldown"		                                    "Culling Blade - Перезарядка"
	
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_kill_threshold_Description"		                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает порог убийства Culling Blade на %value%."
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_damage_Description"		                            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает магический урон Culling Blade на %value%."
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_speed_bonus_Description"		                        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает бонус скорости передвижения Culling Blade на %value%%."
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_atk_speed_bonus_tooltip_Description"		            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает бонус скорости атаки Culling Blade на %value%."
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_speed_duration_Description"		                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность ускорения Culling Blade на %value% секунд."
	"DOTA_Tooltip_Ability_item_axe_culling_blade_lua_pct_cooldown_Description"		                        "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Culling Blade на %value%%."
	
	
	//>---------------------------------------
	//>--- TALENT TREE -----------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_special_bonus_unique_counter_helix_attack"	                                    "Attacking Proc Counter Helix"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_axe_culling_blade_lua+kill_threshold"                    "+{s:kill_threshold} к порогу убийства Culling Blade"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_axe_berserkers_call_lua+radius"	                        "+{s:радиус} к радиусу Berseker's Call"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_axe_battle_hunger_lua+damage_per_second"	                "+{s:damage_per_second} к урону в секунду от Battle Hunger"
	
	
	//>---------------------------------------
	//>--- MODIFIER --------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_modifier_axe_berserkers_call_special_health"                                              "Cardiovascular Axercises"
	"DOTA_Tooltip_modifier_axe_berserkers_call_special_health_Description"                                  "Получение дополнительного максимального здоровья за стак. Все стаки теряются при смерти."
	
	"DOTA_Tooltip_modifier_axe_battle_hunger_lua_debuff"                                                    "Battle Hunger"
	"DOTA_Tooltip_modifier_axe_battle_hunger_lua_debuff_Description"                                        "Замедлен и получает постепенный урона."
	
	
	"DOTA_Tooltip_modifier_axe_battle_hunger_lua"		                                                    "Battle Hunger"
	"DOTA_Tooltip_modifier_axe_battle_hunger_lua_Description"		                                        "Получение дополнительной скорости передвижения за каждого юнита, задетого Battle Hunger"
	
	
	"DOTA_Tooltip_modifier_axe_berserkers_call_lua_debuff"		                                            "Berserker's Called"
	"DOTA_Tooltip_modifier_axe_berserkers_call_lua_debuff_Description"		                                "Кому нужен топор? Этому парню!"
	
	"DOTA_Tooltip_modifier_axe_berserkers_call_lua"		                                                    "Berserker's Calling"
	"DOTA_Tooltip_modifier_axe_berserkers_call_lua_Description"		                                        "Никакая голосовая почта не спасет тебя от этого!"
	
	"DOTA_Tooltip_modifier_axe_counter_helix_special_reduce_damage"                                         "Low Axe-pectation"
	"DOTA_Tooltip_modifier_axe_counter_helix_special_reduce_damage_description"                             "Наносит меньше урона"
	
	"DOTA_Tooltip_modifier_axe_culling_blade_lua"	                                                        "Culling Blade Bonus"
	"DOTA_Tooltip_modifier_axe_culling_blade_lua_Description"	                                            "Временное увеличение скорости атаки и скорости передвижения"
	
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-AXE END--------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-DAWNBREAKER START-----------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	
	//>---------------------------------------
	//>--- LEGENDARY -------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_solar_pulse"                                                      "Starburst"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_solar_pulse_Description"                                          "Starbreaker периодически излучает импульсы  Solar Guardian текущего уровня на протяжении всей своей длительности. Dawnbreaker получает на %damage_reduction%%% меньше урона во время применения Starbreaker"
	
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_max_luminosity"                                                   "Whispers of Ezalor"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_max_luminosity_Description"                                       "Starbreaker срабатывает Luminosity при каждом ударе и Luminosity всегда будет установлен на максимальное количество стаков после окончания способности"
	
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_smash_sleep"                                                      "Stop, Hammer Time!"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_smash_sleep_Description"                                          "Радиус финального удара Starbreaker увеличивается на %bonus_radius_mult%%%. Все враги, пораженные этим последним ударом, включая юнитов с иммунитетом к оглушению, получают %magic_damage% ополнительного магического урона и усыпляются на %sleep_duration% секунд. Сону нельзя противостоять сопротивлением эффектам, но он также не влияет на боссов"
	
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_skewer"                                                      "Righteous Momentum"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_skewer_Description"                                          "Celestrial Hammer тащит за собой любого вражеского юнита на своем пути. При ударе о землю все юниты в радиусе %radius% от Celestrial Hammer мгновенно получают урон от атаки  Dawnbreaker,, а затем оглушаются на %attack_stun% секунд"
	
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_illusion"                                                    "Echoes of the First Light"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_illusion_Description"                                        "Celestrial Hammer имеет шанс %chance%%% создать иллюзию Dawnbreaker каждый раз, когда он атакует вражеский юнит. Эти иллюзии наносят урон %illusion_damage_pct%%% урона, получают %illusion_incoming_dmg%%% урона и полностью способны использовать Luminosity"
	
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_trail_heal"                                                  "Road to Eden"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_trail_heal_Description"                                      "Огненный след Celestrial Hammer's теперь лечит и увеличивает скорость передвижения союзных героев. Любой союзный герой, исцеленный Luminosity, также оставит собственный огненный след на %duration% секунд"
	
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_charge"                                                            "Rogue Knight's Pursuit"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_charge_Description"                                                "Dawnbreaker теперь может активировать Luminosity, чтобы атаковать любого вражеского юнита в радиусе %range%. Прибыв к цели, Dawnbreaker оглушает всех врагов в радиусе %aoe% на %stun_duration% секунд. Во время зарядки Dawnbreaker неуязвим и оставляет за собой след огня Celestrial Hammer (время восстановления 10 секунд, 25 маны)"
	
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_stacking"                                                          "Lux Immortalis"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_stacking_Description"                                              "Каждый раз, когда Dawnbreaker атакует, она получает стак Lux Immortalis. Каждый стак дает Dawnbreaker %damage_reduction%%% снижения урона, максимум стаков %max_stacks%. Если Dawnbreaker прекращает атаковать на  %reset_time% секунд, счетчик стаков немедленно уменьшается, если только она не кастует Solar Guardian"
	
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_explosion"                                                         "Confessions in the Dark"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_explosion_Description"                                             "Если вражеский юнит умирает в течение %duration% секунд после нанесения критического удара Luminosity, он взрывается в радиусе %aoe% нанося урон врагам и исцеляя союзных героев на %health_pct%%% от своего максимального здоровья. Критический удар Luminosity также оглушает цель, оглушая ее на %stun_duration% секунд"
	
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_charges"                                                       "Beam Me Up, Scotty!"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_charges_Description"                                           "Solar Guardian теперь имеет 3 независимых заряда. После приземления Dawnbreaker сбрасывает время восстановления всех остальных своих способностей"
	
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_permanent_dummy"                                               "Solar Sanctuary"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_permanent_dummy_Description"                                   "Потребляет 100% текущей маны Dawnbreaker, чтобы навсегда благословить локацию, заставляя ее излучать меньшие импульсы Solar Guardian текущего уровня, нанося урон и исцеляя на %value_mult%%% от значений способности. Можно использовать только один раз в комнате, но эффект продлится до конца схватки"
	
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_permanent"                                                     "Solar Sanctuary"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_permanent_Description"                                         "Потребляет 100% текущей маны Dawnbreaker, чтобы навсегда благословить локацию, заставляя ее излучать меньшие импульсы Solar Guardian текущего уровня, нанося урон и исцеляя на %value_mult%%% от значений способности. Можно использовать только один раз в комнате, но эффект продлится до конца схватки \n<font color=\"#9acd32\">Требуется уровень в Solar Guardian</font>"
	
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_capture"                                                       "Stairway to Heaven"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_capture_Description"                                           "Solar Guardian теперь захватывает всех ближайших врагов, унося их в небо с Dawnbreaker. При приземлении Dawnbreaker получает полную невосприимчивость к физическому и магическому урону на %buff_duration% секунд"
	
	
	//>---------------------------------------
	//>--- ABILITY ---------------------------
	//>---------------------------------------
	
	
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua"                                                                  "Starbreaker"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_Description"                                                      "Dawnbreaker вращает свой молот около %total_attacks% раз, нанося урон противникам своей атакой плюс дополнительный урон. В финальном ударе она разбивает свой молот, оглушая и поражая врагов перед собой."
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_duration"                                                         "ДЛИТЕЛЬНОСТЬ:"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_swipe_radius"                                                     "РАДИУС ВЗМАХОВ:"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_swipe_damage"                                                     "ДОП.УРОН ОТ ВЗМАХОВ:"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_smash_radius"                                                     "РАДИУС УДАРА ПО ЗЕМЛЕ:"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_smash_damage"                                                     "ДОП.УРОН УДАРА ПО ЗЕМЛЕ:"
	"DOTA_Tooltip_Ability_dawnbreaker_starbreaker_lua_smash_stun_duration"                                              "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
	
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua"                                                             "Celestial Hammer"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_Description"                                                 "Dawnbreaker швыряет свое оружие в определенное место, нанося урон пораженным по пути врагам. Молот ненадолго останавливается в месте назначения, прежде чем лететь обратно к ней, оставляя огненный след, который замедляет врагов. Dawnbreaker может отозвать молот в любой момент, потянув ее к себе, чтобы они встретились посередине."
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_hammer_damage"                                               "УРОН МОЛОТА:"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_flare_debuff_duration"                                       "ДЛИТЕЛЬНОСТЬ ОГНЕННОГО СЛЕДА:"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_flare_radius"                                                "РАДИУС ОГНЕННОГО СЛЕДА:"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_move_slow"                                                   "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ ОТ ОГНЕННОГО СЛЕДА:"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_burn_damage"                                                 "УРОН В СЕКУНДУ ОТ ОГНЕННОГО СЛЕДА:"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_range"                                                       "ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_pause_duration"                                              "ЗАДЕРЖКА ВОЗВРАТА МОЛОТА:"
	
	"DOTA_Tooltip_Ability_dawnbreaker_converge_lua"                                                                     "Converge"
